code,name,link,market_cap,today_price,previous_price,rate
069960,현대백화점,https://finance.naver.com/item/main.naver?code=069960,"1조5,095억원",64500,63000,2.33
298050,효성첨단소재,https://finance.naver.com/item/main.naver?code=298050,"1조4,985억원",334500,322500,3.59
005850,에스엘,https://finance.naver.com/item/main.naver?code=005850,"1조4,422억원",31050,31150,-0.32
019170,신풍제약,https://finance.naver.com/item/main.naver?code=019170,"1조4,359억원",27100,27300,-0.74
120110,코오롱인더,https://finance.naver.com/item/main.naver?code=120110,"1조3,980억원",50800,49400,2.76
000210,DL,https://finance.naver.com/item/main.naver?code=000210,"1조3,978억원",66700,64800,2.85
298020,효성티앤씨,https://finance.naver.com/item/main.naver?code=298020,"1조3,264억원",306500,298500,2.61
009240,한샘,https://finance.naver.com/item/main.naver?code=009240,"1조3,250억원",56300,55600,1.24
016380,KG스틸,https://finance.naver.com/item/main.naver?code=016380,"1조2,501억원",12500,12200,2.4
010780,아이에스동서,https://finance.naver.com/item/main.naver?code=010780,"1조2,141억원",39300,38100,3.05
001230,동국제강,https://finance.naver.com/item/main.naver?code=001230,"1조1,834억원",12400,11950,3.63
001120,LX인터내셔널,https://finance.naver.com/item/main.naver?code=001120,"1조1,647억원",30050,28800,4.16
271940,일진하이솔루스,https://finance.naver.com/item/main.naver?code=271940,"1조1,548억원",31800,31000,2.52
000240,한국앤컴퍼니,https://finance.naver.com/item/main.naver?code=000240,"1조1,155억원",11750,11500,2.13
020560,아시아나항공,https://finance.naver.com/item/main.naver?code=020560,1조901억원,14650,14250,2.73
017800,현대엘리베이,https://finance.naver.com/item/main.naver?code=017800,1조877억원,26650,25800,3.19
000150,두산,https://finance.naver.com/item/main.naver?code=000150,1조774억원,65200,63500,2.61
185750,종근당,https://finance.naver.com/item/main.naver?code=185750,1조669억원,89000,88600,0.45
031430,신세계인터내셔날,https://finance.naver.com/item/main.naver?code=031430,1조549억원,29550,28600,3.21
001740,SK네트웍스,https://finance.naver.com/item/main.naver?code=001740,1조523억원,4240,4215,0.59
042670,현대두산인프라코어,https://finance.naver.com/item/main.naver?code=042670,1조224억원,5170,5080,1.74
003240,태광산업,https://finance.naver.com/item/main.naver?code=003240,"9,954억원",894000,886000,0.89
073240,금호타이어,https://finance.naver.com/item/main.naver?code=073240,"9,752억원",3395,3355,1.18
178920,PI첨단소재,https://finance.naver.com/item/main.naver?code=178920,"9,735억원",33150,32650,1.51
005250,녹십자홀딩스,https://finance.naver.com/item/main.naver?code=005250,"9,735억원",20700,20950,-1.21
001800,오리온홀딩스,https://finance.naver.com/item/main.naver?code=001800,"9,365억원",14950,15050,-0.67
000670,영풍,https://finance.naver.com/item/main.naver?code=000670,"9,358억원",508000,504000,0.79
009900,명신산업,https://finance.naver.com/item/main.naver?code=009900,"9,208억원",17550,17500,0.28
300720,한일시멘트,https://finance.naver.com/item/main.naver?code=300720,"9,177억원",13250,12850,3.02
381970,케이카,https://finance.naver.com/item/main.naver?code=381970,"9,040억원",18800,18750,0.27
009420,한올바이오파마,https://finance.naver.com/item/main.naver?code=009420,"8,933억원",17100,17150,-0.29
161890,한국콜마,https://finance.naver.com/item/main.naver?code=161890,"8,706억원",38050,38050,0.0
114090,GKL,https://finance.naver.com/item/main.naver?code=114090,"8,505억원",13750,13700,0.36
013890,지누스,https://finance.naver.com/item/main.naver?code=013890,"8,142억원",47250,45000,4.76
032350,롯데관광개발,https://finance.naver.com/item/main.naver?code=032350,"8,029억원",11100,10750,3.15
006650,대한유화,https://finance.naver.com/item/main.naver?code=006650,"8,028억원",123500,120000,2.83
039130,하나투어,https://finance.naver.com/item/main.naver?code=039130,"7,931억원",49450,49000,0.91
006040,동원산업,https://finance.naver.com/item/main.naver?code=006040,"7,870억원",214000,211500,1.17
192820,코스맥스,https://finance.naver.com/item/main.naver?code=192820,"7,706억원",67900,68100,-0.29
069260,TKG휴켐스,https://finance.naver.com/item/main.naver?code=069260,"7,665억원",18750,18300,2.4
001680,대상,https://finance.naver.com/item/main.naver?code=001680,"7,484억원",21600,21750,-0.69
192080,더블유게임즈,https://finance.naver.com/item/main.naver?code=192080,"7,469억원",40650,39850,1.97
294870,HDC현대산업개발,https://finance.naver.com/item/main.naver?code=294870,0,0,0,
003850,보령,https://finance.naver.com/item/main.naver?code=003850,0,0,0,
005440,현대그린푸드,https://finance.naver.com/item/main.naver?code=005440,0,0,0,
020000,한섬,https://finance.naver.com/item/main.naver?code=020000,0,0,0,
004490,세방전지,https://finance.naver.com/item/main.naver?code=004490,0,0,0,
103140,풍산,https://finance.naver.com/item/main.naver?code=103140,0,0,0,
241590,화승엔터프라이즈,https://finance.naver.com/item/main.naver?code=241590,0,0,0,
105630,한세실업,https://finance.naver.com/item/main.naver?code=105630,0,0,0,
284740,쿠쿠홈시스,https://finance.naver.com/item/main.naver?code=284740,0,0,0,
000070,삼양홀딩스,https://finance.naver.com/item/main.naver?code=000070,0,0,0,
057050,현대홈쇼핑,https://finance.naver.com/item/main.naver?code=057050,0,0,0,
